Average size,Src Port,Dst Port,Protocol,Time,Category
137,1254,443,1,859.02,Web
94,13389,443,1,1848.5,Web
141,13385,443,1,331.5,Web
60,13407,443,1,2580.88,Web
60,13404,443,1,4.04,Web
92,137,137,0,1833.24,System
64,56503,5355,0,0.0,Network
64,62706,5355,0,206.0,Network
60,13397,443,1,1511.12,Web
60,13393,443,1,312.58,Web
64,65508,5355,0,0.5,Network
64,60533,5355,0,206.0,Network
314,10558,53,0,2102.0,Network
90,10559,123,0,70.0,System
64,54993,5355,0,205.5,Network
64,61682,5355,0,0.0,Network
64,50028,5355,0,0.5,Network
64,62766,5355,0,206.0,Network
64,63473,5355,0,0.0,Network
64,50813,5355,0,205.5,Network
64,59764,5355,0,0.5,Network
64,50741,5355,0,5.0,Network
527,13411,13000,1,13.37,Web
64,60267,5355,0,206.0,Network
64,57827,5355,0,0.0,Network
215,63970,1900,0,39.15,System
106,5353,5353,0,59.89,Network
86,5353,5353,0,1.8,Network
63,54357,32412,0,60.44,System
63,54361,32414,0,0.34,System
106,5353,5353,0,74.25,Network
86,5353,5353,0,0.12,Network
92,137,137,0,59.28,System
64,53913,5355,0,66.5,Network
64,55548,5355,0,0.5,Network
92,137,137,0,75.33,System
64,60099,5355,0,0.5,Network
84,60099,5355,0,125.0,Network
84,58812,5355,0,0.0,Network
64,58812,5355,0,0.5,Network
86,5353,5353,0,64.38,Network
92,137,137,0,53.69,System
64,56285,5355,0,0.0,Network
84,56285,5355,0,0.0,Network
64,56504,5355,0,0.5,Network
84,56504,5355,0,9.0,Network
92,137,137,0,64.82,System
150,546,547,0,95.5,Network
106,5353,5353,0,64.73,Network
86,5353,5353,0,0.67,Network
106,5353,5353,0,52.49,Network
86,5353,5353,0,12.55,Network
168,17500,17500,0,34.9,Cloud
168,17500,17500,0,0.15,Cloud
106,5353,5353,0,50.37,Network
87,5353,5353,0,1.43,Network
92,137,137,0,60.15,System
64,49517,5355,0,0.5,Network
84,49517,5355,0,0.5,Network
64,62471,5355,0,0.0,Network
84,62471,5355,0,14.0,Network
92,137,137,0,53.0,System
64,58447,5355,0,8.0,Network
64,55613,5355,0,0.5,Network
92,137,137,0,61.76,System
92,137,137,0,50.52,System
64,60863,5355,0,0.5,Network
64,50207,5355,0,0.0,Network
157,17500,17500,0,30.9,Cloud
157,17500,17500,0,0.05,Cloud
163,546,547,0,35.62,Network
150,546,547,0,77.93,Network
107,5353,5353,0,61.32,Network
87,5353,5353,0,0.03,Network
149,546,547,0,32.6,Network
90,10244,123,0,60.52,System
84,61168,5355,0,65.5,Network
64,61168,5355,0,1.0,Network
84,62294,5355,0,6.0,Network
64,62294,5355,0,0.0,Network
343,5353,5353,0,62.0,Network
92,137,137,0,62.47,System
84,60869,5355,0,0.5,Network
64,60869,5355,0,0.0,Network
84,52086,5355,0,15.5,Network
64,52086,5355,0,0.0,Network
150,546,547,0,35.75,Network
146,17500,17500,0,47.45,Cloud
146,17500,17500,0,1.55,Cloud
92,137,137,0,24.67,System
64,54730,5355,0,29.5,Network
64,63066,5355,0,0.0,Network
150,546,547,0,52.88,Network
92,137,137,0,58.02,System
64,57654,5355,0,0.0,Network
84,57654,5355,0,0.0,Network
84,65275,5355,0,109.0,Network
64,65275,5355,0,0.0,Network
145,17500,17500,0,52.75,Cloud
145,17500,17500,0,1.0,Cloud
92,137,137,0,53.23,System
84,59769,5355,0,11.5,Network
64,59769,5355,0,0.0,Network
84,54989,5355,0,0.5,Network
64,54989,5355,0,0.0,Network
64,61517,5355,0,0.5,Network
84,61517,5355,0,0.0,Network
84,58328,5355,0,6.0,Network
64,58328,5355,0,0.0,Network
64,55666,5355,0,2.5,Network
64,60220,5355,0,0.0,Network
92,137,137,0,0.09,System
92,137,137,0,0.11,System
92,137,137,0,79.33,System
84,53849,5355,0,13.5,Network
64,53849,5355,0,0.0,Network
84,50916,5355,0,0.0,Network
64,50916,5355,0,0.5,Network
153,546,547,0,46.75,Network
84,57034,5355,0,0.5,Network
64,57034,5355,0,0.0,Network
84,50763,5355,0,2.0,Network
64,50763,5355,0,0.0,Network
92,137,137,0,0.11,System
92,137,137,0,0.09,System
92,137,137,0,0.09,System
86,57621,57621,0,56.06,Music
84,57921,5355,0,66.5,Network
64,57921,5355,0,0.0,Network
84,60695,5355,0,0.0,Network
64,60695,5355,0,0.0,Network
145,17500,17500,0,40.95,Cloud
145,17500,17500,0,0.35,Cloud
92,137,137,0,0.07,System
84,50645,5355,0,0.0,Network
64,50645,5355,0,0.0,Network
84,49357,5355,0,61.5,Network
64,49357,5355,0,0.5,Network
64,56294,5355,0,0.0,Network
84,56294,5355,0,0.0,Network
84,56771,5355,0,89.5,Network
64,56771,5355,0,0.5,Network
92,137,137,0,0.17,System
92,137,137,0,0.05,System
92,137,137,0,0.02,System
92,137,137,0,0.27,System
243,138,138,0,2.0,System
92,137,137,0,6.0,System
64,52619,5355,0,0.0,Network
64,50941,5355,0,9.0,Network
348,5353,5353,0,56.0,Network
215,7116,1900,0,35.27,System
64,53090,5355,0,42.5,Network
64,54753,5355,0,0.0,Network
84,58788,5355,0,0.5,Network
64,58788,5355,0,0.0,Network
84,57454,5355,0,20.5,Network
64,57454,5355,0,0.0,Network
106,5353,5353,0,41.27,Network
86,5353,5353,0,0.0,Network
168,50546,17500,0,38.33,Cloud
112,546,547,0,49.33,Network
92,137,137,0,104.33,System
64,52261,5355,0,2.5,Network
64,54378,5355,0,0.5,Network
84,49691,5355,0,49.0,Network
64,49691,5355,0,0.0,Network
64,54417,5355,0,0.0,Network
84,54417,5355,0,0.0,Network
266,138,138,0,0.11,System
92,137,137,0,0.0,System
92,137,137,0,0.0,System
92,137,137,0,0.0,System
216,138,138,0,0.09,System
216,138,138,0,0.0,System
